,time,mu_real,mu_imag
579,0.1158,-0.267294048006,-0.00612788239486
580,0.116,-0.267292733924,-0.00612428694396
581,0.1162,-0.267291421491,-0.00612059002187
582,0.1164,-0.267290110887,-0.00611679189945
583,0.1166,-0.267288802035,-0.00611289280867
584,0.1168,-0.267287494881,-0.00610889278445
585,0.117,-0.267286189906,-0.00610479173885
586,0.1172,-0.267284886625,-0.00610059008888
587,0.1174,-0.267283585454,-0.00609628773495
588,0.1176,-0.267282286124,-0.00609188499551
589,0.1178,-0.267280988777,-0.00608738192168
590,0.118,-0.267279693414,-0.00608277864364
591,0.1182,-0.267278400008,-0.0060780754489
592,0.1184,-0.267277108556,-0.0060732725551
593,0.1186,-0.267275819237,-0.00606836973417
594,0.1188,-0.267274531836,-0.00606336752247
595,0.119,-0.267273246568,-0.0060582658228
596,0.1192,-0.267271963397,-0.00605306479725
597,0.1194,-0.267270682397,-0.00604776496827
598,0.1196,-0.267269403527,-0.00604236619673
599,0.1198,-0.267268126804,-0.00603686878837
600,0.12,-0.267266852147,-0.00603127283625
601,0.1202,-0.267265579887,-0.00602557849961
602,0.1204,-0.267264309831,-0.0060197859616
603,0.1206,-0.267263042009,-0.00601389552715
604,0.1208,-0.267261776483,-0.00600790736077
605,0.121,-0.267260513346,-0.00600182159516
606,0.1212,-0.267259252501,-0.0059956382447
607,0.1214,-0.267257994046,-0.00598935785588
608,0.1216,-0.26725673811,-0.00598298041628
609,0.1218,-0.267255484494,-0.00597650627232
610,0.122,-0.267254233319,-0.00596993549941
611,0.1222,-0.267252984531,-0.00596326830449
612,0.1224,-0.267251738216,-0.00595650505593
613,0.1226,-0.267250494401,-0.00594964604735
614,0.1228,-0.267249253192,-0.00594269123119
615,0.123,-0.267248014554,-0.0059356408695
616,0.1232,-0.267246778415,-0.00592849529792
617,0.1234,-0.267245544849,-0.00592125462688
618,0.1236,-0.267244313884,-0.00591391916093
619,0.1238,-0.267243085578,-0.00590648914834
620,0.124,-0.267241860014,-0.0058989648362
621,0.1242,-0.267240637008,-0.00589134661497
622,0.1244,-0.267239416941,-0.00588363458845
623,0.1246,-0.26723819952,-0.00587582901362
624,0.1248,-0.267236984873,-0.0058679300434
625,0.125,-0.267235772968,-0.00585993806987
626,0.1252,-0.267234563936,-0.00585185326495
627,0.1254,-0.267233357589,-0.00584367592786
628,0.1256,-0.267232154131,-0.00583540651379
629,0.1258,-0.267230953591,-0.0058270449684
630,0.126,-0.267229755898,-0.00581859178641
631,0.1262,-0.267228561133,-0.00581004709584
632,0.1264,-0.267227369383,-0.00580141106218
633,0.1266,-0.267226180523,-0.00579268440227
634,0.1268,-0.267224994561,-0.00578386706295
635,0.127,-0.267223811596,-0.0057749592574
636,0.1272,-0.267222631737,-0.00576596160001
637,0.1274,-0.267221454923,-0.00575687442466
638,0.1276,-0.267220281125,-0.00574769773604
639,0.1278,-0.267219110267,-0.00573843185249
640,0.128,-0.267217942565,-0.00572907710236
641,0.1282,-0.267216778046,-0.00571963382978
642,0.1284,-0.267215616641,-0.00571010246831
643,0.1286,-0.267214458448,-0.00570048309887
644,0.1288,-0.267213303309,-0.00569077609843
645,0.129,-0.267212151285,-0.00568098193531
646,0.1292,-0.267211002459,-0.00567110076371
647,0.1294,-0.267209856972,-0.00566113292289
648,0.1296,-0.267208714659,-0.0056510788484
649,0.1298,-0.267207575714,-0.00564093868571
650,0.13,-0.26720644012,-0.00563071299198
651,0.1302,-0.26720530785,-0.00562040196991
652,0.1304,-0.267204178896,-0.00561000600772
653,0.1306,-0.267203053333,-0.00559952527693
654,0.1308,-0.267201931254,-0.00558896015452
655,0.131,-0.267200812443,-0.00557831113931
656,0.1312,-0.267199697053,-0.00556757866013
657,0.1314,-0.267198585194,-0.00555676273721
658,0.1316,-0.267197476812,-0.00554586409833
659,0.1318,-0.267196371936,-0.00553488290804
660,0.132,-0.267195270517,-0.00552381950475
661,0.1322,-0.267194172395,-0.00551267426019
662,0.1324,-0.267193077917,-0.0055014475263
663,0.1326,-0.267191986923,-0.00549013963766
664,0.1328,-0.267190899503,-0.0054787511777
665,0.133,-0.267189815701,-0.00546728229169
666,0.1332,-0.267188735448,-0.0054557333534
667,0.1334,-0.267187658927,-0.00544410480241
668,0.1336,-0.267186586127,-0.00543239710591
669,0.1338,-0.267185516974,-0.00542061066304
670,0.134,-0.26718445141,-0.00540874556345
671,0.1342,-0.267183389567,-0.0053968025569
672,0.1344,-0.267182331321,-0.00538478177301
673,0.1346,-0.267181276877,-0.00537268377481
674,0.1348,-0.26718022615,-0.00536050901553
675,0.135,-0.267179179186,-0.00534825767072
676,0.1352,-0.267178135854,-0.00533593020884
677,0.1354,-0.267177096335,-0.00532352700924
678,0.1356,-0.267176060546,-0.00531104862889
679,0.1358,-0.267175028621,-0.00529849515627
680,0.136,-0.267174000474,-0.00528586731969
681,0.1362,-0.267172976187,-0.0052731656151
682,0.1364,-0.267171955758,-0.00526039020781
683,0.1366,-0.267170939359,-0.00524754161761
684,0.1368,-0.267169926892,-0.00523462005848
685,0.137,-0.267168918195,-0.00522162613776
686,0.1372,-0.26716791371,-0.00520856026034
687,0.1374,-0.267166913224,-0.00519542297187
688,0.1376,-0.267165916447,-0.00518221455231
689,0.1378,-0.267164923743,-0.0051689355267
690,0.138,-0.267163935118,-0.00515558634374
691,0.1382,-0.267162950452,-0.00514216721564
692,0.1384,-0.267161969623,-0.00512867885708
693,0.1386,-0.267160992906,-0.00511512159701
694,0.1388,-0.267160020284,-0.00510149591897
695,0.139,-0.267159051618,-0.00508780221099
696,0.1392,-0.267158087119,-0.00507404093714
697,0.1394,-0.267157126722,-0.00506021269691
698,0.1396,-0.267156170396,-0.0050463175784
699,0.1398,-0.267155218015,-0.00503235619489
700,0.14,-0.267154269874,-0.00501832920302
701,0.1402,-0.267153325941,-0.00500423691833
702,0.1404,-0.267152386242,-0.00499007965215
703,0.1406,-0.267151450712,-0.0049758581916
704,0.1408,-0.267150519353,-0.00496157266535
705,0.141,-0.267149592363,-0.00494722385963
706,0.1412,-0.267148669363,-0.00493281222019
707,0.1414,-0.267147750728,-0.00491833792798
708,0.1416,-0.267146836242,-0.00490380157567
709,0.1418,-0.267145926155,-0.0048892038224
710,0.142,-0.267145020242,-0.00487454478823
711,0.1422,-0.267144118634,-0.00485982531697
712,0.1424,-0.26714322127,-0.00484504573317
713,0.1426,-0.267142328263,-0.00483020646538
714,0.1428,-0.267141439564,-0.00481530814473
715,0.143,-0.267140555176,-0.00480035108448
716,0.1432,-0.267139675063,-0.0047853360499
717,0.1434,-0.267138799338,-0.00477026311189
718,0.1436,-0.267137928024,-0.00475513322864
719,0.1438,-0.267137061074,-0.00473994651358
720,0.144,-0.267136198549,-0.00472470376674
721,0.1442,-0.267135340372,-0.00470940520959
722,0.1444,-0.267134486584,-0.00469405153625
723,0.1446,-0.267133637147,-0.00467864330531
724,0.1448,-0.267132792173,-0.00466318085525
725,0.145,-0.267131951692,-0.00464766466663
726,0.1452,-0.26713111554,-0.0046320952458
727,0.1454,-0.267130283864,-0.00461647314463
728,0.1456,-0.267129456612,-0.00460079898751
729,0.1458,-0.267128633801,-0.00458507318304
730,0.146,-0.267127815565,-0.00456929634373
731,0.1462,-0.267127001779,-0.00455346882914
732,0.1464,-0.267126192537,-0.00453759124597
733,0.1466,-0.267125387909,-0.00452166415973
734,0.1468,-0.26712458796,-0.00450568811104
735,0.147,-0.267123792382,-0.00448966365813
736,0.1472,-0.267123001418,-0.00447359109486
737,0.1474,-0.267122214977,-0.00445747099813
738,0.1476,-0.267121433111,-0.00444130408247
739,0.1478,-0.267120655844,-0.00442509063976
740,0.148,-0.267119883106,-0.00440883146765
741,0.1482,-0.267119114817,-0.0043925271629
742,0.1484,-0.267118351117,-0.00437617785392
743,0.1486,-0.267117591968,-0.00435978443326
744,0.1488,-0.267116837455,-0.00434334722253
745,0.149,-0.267116087626,-0.00432686685587
746,0.1492,-0.2671153423,-0.00431034382372
747,0.1494,-0.267114601671,-0.00429377856022
748,0.1496,-0.267113865712,-0.00427717197495
749,0.1498,-0.267113134392,-0.00426052415169
750,0.15,-0.267112407751,-0.00424383590766
751,0.1502,-0.267111685696,-0.00422710776373
752,0.1504,-0.267110968336,-0.00421034029238
753,0.1506,-0.267110255698,-0.00419353383996
754,0.1508,-0.267109547682,-0.00417668940358
755,0.151,-0.267108844479,-0.00415980708182
756,0.1512,-0.267108145862,-0.00414288762541
757,0.1514,-0.267107451953,-0.0041259314417
758,0.1516,-0.267106762633,-0.00410893942985
759,0.1518,-0.267106077991,-0.00409191175023
760,0.152,-0.267105398167,-0.00407484929193
